Date,Coin,Open,High,Low,Close,Volume,Market_Cap
2021-01-24,BTC,31794.328125,32938.765625,31106.685547000005,31786.878906,46807683072.0,112970698851.37468
2021-01-19,BTC,36642.234375,37755.890625,36069.804688,36069.804688,57244195486.0,109372673141.74013
2021-01-18,BTC,35792.238281,37299.285156,34883.84375,36630.074219,49511702429.0,108845285496.56728
2021-01-17,BTC,36163.648438,36722.351563,34069.320313,35791.277344,52359854336.0,108155761830.83028
2021-01-16,BTC,36821.648438,37864.367188,35633.554688,36178.140625,57706187875.0,113987017102.36555
2021-01-15,BTC,39156.707031,39577.710938,34659.589844,36825.367188,67760757880.0,114837789505.01476
2021-01-14,BTC,37325.109375,39966.40625,36868.5625,39187.328125,63615990033.0,115167647222.33853
2021-01-13,BTC,33915.121094,37599.960938,32584.667969,37316.359375,69364315979.0,113962679824.78195
2021-01-12,BTC,35516.359375,36568.527344,32697.976563,33922.960938,74773277909.0,114021329402.35275
2021-01-11,BTC,38346.53125,38346.53125,30549.599608999997,35566.65625,123320567398.0,114567814410.76248
2021-01-10,BTC,40254.21875,41420.191406,35984.628906,38356.441406,79980747690.0,113846158429.54836
2021-01-09,BTC,40788.640625,41436.351563,38980.875,40254.546875,61984162837.0,112545036630.82414
2021-01-08,BTC,39381.765625,41946.738281,36838.636719,40797.609375,88107519479.0,112814709079.4464
2021-01-07,BTC,36833.875,40180.367188,36491.191406,39371.042969,84762141031.0,114225251470.51225
2021-01-06,BTC,34013.613281,36879.699219,33514.035156,36824.363281,75289433810.0,114617564007.79602
2021-01-05,BTC,31977.041016000003,34437.589844,30221.1875,33992.429688,67547324781.0,114265552573.72395
2021-01-04,BTC,32810.949219,33440.21875,28722.755858999997,31971.914063,81163475344.0,114768551691.0015
2021-01-03,BTC,32129.408202999995,34608.558594,32052.316406,32782.023438,78665235201.0,115905890382.87775
2021-01-02,BTC,29376.455077999995,33155.117188,29091.181641000003,32127.267577999995,67865420765.0,111760801180.66
2021-01-01,BTC,28994.009766000003,29600.626952999995,28803.585938,29374.152344,40730301358.0,111360852966.35107
2020-12-31,BTC,28841.574219,29244.876952999995,28201.992188,29001.720702999995,46754964848.0,114024650850.04753
2020-12-30,BTC,27360.089844,28937.740233999997,27360.089844,28840.953125,51287442703.0,116001860055.71248
2020-12-29,BTC,27081.810547000005,27370.720702999995,25987.298828,27362.4375,45265946774.0,116607568773.97197
2020-12-28,BTC,26280.822266,27389.111327999995,26207.640625,27084.808594,49056742892.0,116710823191.41154
2020-12-27,BTC,26439.373047,28288.839844,25922.769531,26272.294922,66479895605.0,112172960507.04016
2020-12-26,BTC,24677.015625,26718.070313,24522.689453,26437.037109,48332647295.0,110292032124.89343
2020-12-25,BTC,23733.570313,24710.101563,23463.673828,24664.791016,42068395845.0,109629673484.58704
2020-12-24,BTC,23240.203125,23768.337891,22777.597656,23735.949219,41080759712.0,107960190646.4486
2020-12-23,BTC,23781.974609,24024.490234,22802.646484,23241.345703,51146161904.0,112373562206.64604
2020-12-22,BTC,22794.039063,23789.902344,22430.605469,23783.029297,44171632680.0,112796085614.54745
2020-12-21,BTC,23474.455078,24059.982422,22159.367188,22803.082031,45852713980.0,112334356298.05247
2020-12-20,BTC,23861.765625,24209.660156,23147.710938,23477.294922,37844228421.0,112124461661.13243
2020-12-19,BTC,23132.865234,24085.855469,22826.472656,23869.832031,38487546579.0,109298582014.2178
2020-12-18,BTC,22806.796875,23238.601563,22399.8125,23137.960938,40387896274.0,108449181464.89592
2020-12-17,BTC,21308.351563,23642.660156,21234.675781,22805.162109,71378606373.0,108846231385.41852
2020-12-16,BTC,19418.818359,21458.908203,19298.316406,21310.597656,44409011479.0,108219061918.52274
2020-12-15,BTC,19246.919922,19525.007813,19079.841797,19417.076172,26741982541.0,106668555553.51492
2020-12-14,BTC,19144.492188,19305.099609,19012.708984,19246.644531,22473997681.0,110396118506.89438
2020-12-13,BTC,18806.765625,19381.535156,18734.332031,19142.382813,25450468636.0,112034863191.16696
2020-12-12,BTC,18051.320313,18919.550781,18046.041016,18803.65625,21752580801.0,116602093876.15265
2020-12-11,BTC,18263.929688,18268.453125,17619.533203,18058.904297,27919640985.0,126949626755.78699
2020-12-10,BTC,18553.298828,18553.298828,17957.064453,18264.992188,25547132265.0,125200923805.39093
2020-12-09,BTC,18320.884766,18626.292969,17935.546875,18553.916016,34420373070.0,125994361368.72595
2020-12-08,BTC,19191.529297,19283.478516,18269.945313,18321.144531,31692288756.0,124380655386.09407
2020-12-07,BTC,19343.128906,19411.828125,18931.142578,19191.630859,26896357742.0,121186316787.30235
2020-12-06,BTC,19154.179688,19390.5,18897.894531,19345.121094,25293775713.0,121103237785.70247
2020-12-05,BTC,18698.384766,19160.449219,18590.193359,19154.230469,27242455063.0,121479639297.29665
2020-12-04,BTC,19446.966797,19511.404297,18697.193359,18699.765625,33872388057.0,121992306938.18848
2020-12-03,BTC,19205.925781,19566.191406,18925.785156,19445.398438,31930317405.0,118546009735.9248
2020-12-02,BTC,18801.744141,19308.330078,18347.71875,19201.091797,37387697138.0,115406552890.99014
2020-12-01,BTC,19633.769531,19845.974609,18321.921875,18802.998047,49633658712.0,116073397012.0424
2020-11-30,BTC,18178.322266,19749.263672,18178.322266,19625.835938,47728480399.0,115177527171.8132
2020-11-29,BTC,17719.634766,18283.628906,17559.117188,18177.484375,31133957704.0,112327439428.7716
2020-11-28,BTC,17112.933594,17853.939453,16910.652344,17717.414063,32601040733.0,109149076720.34018
2020-11-27,BTC,17153.914063,17445.023438,16526.423828,17108.402344,38886494645.0,111399689881.15747
2020-11-26,BTC,18729.839844,18866.285156,16351.035156,17150.623047,61396835736.0,107511643840.85837
2020-11-25,BTC,19104.410156,19390.964844,18581.146484,18732.121094,43710357371.0,111490970656.3322
2020-11-24,BTC,18365.015625,19348.271484,18128.65625,19107.464844,51469565008.0,109889851531.17278
2020-11-23,BTC,18370.017578,18711.425781,18000.796875,18364.121094,42741112307.0,113018605465.47176
2020-11-22,BTC,18642.232422,18688.96875,17671.384766,18370.001953,41280434225.0,108578823549.00037
2020-11-21,BTC,18621.316406,18936.621094,18444.359375,18642.232422,39650210707.0,107788817699.53123
2020-11-20,BTC,17817.083984,18773.226563,17765.794922,18621.314453,36992873939.0,106911788926.75308
