iter	RMSE
0	4798.634575
1	4792.120302
2	4788.374928
3	4783.576731
4	4779.006829
5	4774.751695
6	4770.770267
7	4767.050203
8	4763.960985
9	4761.185233
10	4758.492146
11	4755.332053
12	4752.966452
13	4750.67576
14	4750.675715
15	4748.365421
16	4746.201883
17	4744.169596
18	4742.717089
19	4742.716629
20	4740.601684
21	4739.492519
22	4738.525862
23	4736.95168
24	4736.003425	4646.366718
26	4645.360562
27	4644.080747
28	28	4731.108029
29	4730.16783
30	4728.748794
31	4727.664856
32	4727.102101
33	4726.66312
34	4725.960283
35	4725.322461
36	4724.503989
37	4723.864305
38	4723.555647
39	4722.826568
40	4722.31156
41	4721.508141
42	4720.809643
43	4720.463094
44	4719.819602
45	4719.04616
46	4718.567556
47	4718.153221
48	4717.781826
49	4717.490768
50	4716.983459
51	4716.972837
52	4716.601324
53	4716.353006
54	4715.907966
55	4715.536085
56	4715.519788
57	4715.519755
58	4715.170557
59	4715.153476
60	4714.573541
61	4714.399046
62	4714.034078
63	4713.671573
64	4713.54136
65	4713.36988
66	4713.215149
67	4712.544847
68	4712.17564
69	4712.042602
70	4711.871876
71	4711.557675
72	4711.225448
73	4711.10895
74	4711.091101
75	4710.768732
76	4710.406318
77	4710.056281
78	4709.860342
79	4709.508084
80	4709.300537
81	4708.697253
82	4708.30616
83	4708.303224
84	4707.958228
85	4707.675949
86	4707.597629
87	4707.528933
88	4707.337723
89	4707.240006
90	4706.974179
91	4706.667956
92	4706.667756
93	4706.644135
94	4706.45753
95	4706.176494
96	4706.009462
97	4705.822991
98	4705.683937
99	4705.614053
100	4705.526661
101	4705.28814
102	4704.898953
103	4704.898818
104	4704.826444
105	4704.497906
106	4704.341444
107	4704.15533
108	4703.892837
109	4703.582002
110	4703.404824
111	4703.031332
112	4702.828382
113	4702.645244
114	4702.484235
115	4702.228165
116	4702.028488
117	4701.805599
118	4701.648151
119	4701.441355
120	4701.438663
121	4701.43865
122	4701.148544
123	4701.14552
124	4701.143732
125	4700.864761
126	4700.825226
127	4700.739309
128	4700.390344
129	4699.907003
130	4699.785521
131	4699.618546
132	4699.362362
133	4699.36224
134	4699.310948
135	4699.27313
136	4698.987734
137	4698.981257
138	4698.981246
139	4698.921913
140	4698.894483
141	4698.894483
142	4698.637122
143	4698.257404
144	4698.091393
145	4697.911255
146	4697.679068
147	4697.60876
148	4697.122788
149	4697.119949
150	4696.968174
151	4696.777941
152	4696.751051
153	4696.589238
154	4696.589209
155	4696.571483
156	4696.457123
157	4696.373402
158	4696.128793
159	4695.909696
160	4695.770471
161	4695.558938
162	4695.185593
163	4695.083521
164	4694.82826
165	4694.676387
166	4694.465825
167	4694.212344
168	4694.077197
169	4693.816996
170	4693.566513
171	4693.510952
172	4693.325713
173	4693.216719
174	4693.145356
175	4693.07508
176	4693.072897
177	4692.815926
178	4692.595413
179	4692.384533
180	4692.072241
181	4691.930669
182	4691.662048
183	4691.537442
184	4691.310403
185	4691.154924
186	4690.822476
187	4690.630418
188	4690.373171
189	4690.107109
190	4689.832653
191	4689.427228
192	4689.196608
193	4688.785833
194	4688.611551
195	4688.439165
196	4688.253629
197	4688.014153
198	4687.753824
199	4687.56473
200	4687.305105
201	4687.113677
202	4687.065753
203	4687.05373
204	4686.851149
205	4686.516323
206	4686.322688
207	4685.95816
208	4685.763277
209	4685.630462
210	4685.392371
211	4685.239921
212	4685.028529
213	4684.721158
214	4684.515217
215	4684.164869
216	4683.857193
217	4683.611053
218	4683.234993
219	4682.894345
220	4682.688506
221	4682.45924
222	4682.154923
223	4681.975568
224	4681.739402
225	4681.474428
226	4681.191375
227	4680.905976
228	4680.60471
229	4680.348446
230	4680.218169
231	4679.88279
232	4679.666189
233	4679.511049
234	4679.241999
235	4678.981438
236	4678.794371
237	4678.472975
238	4678.167891
239	4677.782539
240	4677.494902
241	4677.248504
242	4676.940168
243	4676.692261
244	4676.594047
245	4676.329656
246	4676.199174
247	4675.937625
248	4675.784962
249	4675.533267
250	4675.289491
251	4675.056586
252	4674.92119
253	4674.575848
254	4674.355549
255	4674.202686
