iter	Passed	Remaining
0	139	139114
1	157	78742
2	170	56826
3	171	42824
4	173	34427
5	174	28828
6	175	24845
7	176	21837
8	177	19505
9	178	17640
10	178	16072
11	179	14797
12	180	13718
13	181	12793
14	182	11994
15	183	11294
16	194	11266
17	195	10654
18	195	10117
19	196	9647
20	197	9222
21	198	8835
22	199	8482
23	200	8157
24	201	7862
25	202	7589
26	203	7336
27	204	7103
28	205	6883
29	206	6670
30	207	6479
31	208	6300
32	209	6132
33	210	5973
34	211	5823
35	212	5679
36	213	5545
37	213	5408
38	214	529139	223	5371
40	224	5258
41	225	5150
42	226	5048
43	227	4948
44	229	4861
45	230	4782
46	232	4705
447	240	4775
48	241	4687
49	242	4615
50	258	4804
51	259	4726
52	260	4649
53	261	4576
54	262	4506
55	262	4429
56	263	4364
57	264	4300
58	265	4239
59	266	4178
60	286	4405
61	287	4348
62	288	4289
63	289	4231
64	295	4249
65	296	4191
66	297	4139
67	297	4084
68	299	4034
69	299	3983
70	305	4002
71	306	3950
72	307	3903
73	307	3853
74	308	3804
75	309	3762
76	310	3723
77	311	3681
78	312	3643
79	313	3602
80	314	3566
81	315	3530
82	316	3495
83	317	3456
84	318	3423
85	319	3392
86	320	3358
87	320	3323
88	321	3293
89	322	3262
90	323	3233
91	324	3204
92	325	3172
93	326	3144
94	327	3117
95	328	3097
96	330	3072
97	331	3047
98	332	3021
99	332	2994
100	333	2965
101	334	2943
102	355	3097
103	356	3073
104	357	3050
105	358	3026
106	359	2999
107	360	2979
108	361	2957109	367	2973
1110	388	3111
111	389	3088
112	390	3064
113	391	3039
114	413	31781115	413	31531116	414	31291117	415	31071118	416	30851119	417	3063120	433	3151
1121	443	3195
122	451	3222
123	453	3202
124	454	3180
125	455	3158
126	456	3134
127	457	3113
128	458	3093
129	458	3070
130	460	3054
131	461	3035
132	462	3014
133	463	2996
134	464	2977
135	465	2958
136	466	2938
137	467	2920
138	468	2902
139	469	2883140	476	2903
141	478	2892
142	480	2877
143	481	2860
144	488	2882
145	490	2867
146	520	3022
147	521	3004
148	522	2987
149	536	3040
150	537	3023
151	539	3007
152	556	3081
153	557	3063
154	561	3059
155	579	3137
156	581	3120
157	582	3102
158	583	3085
159	583	3065
160	585	3048
161	586	3034
162	587	3018
163	588	3002
164	589	2984
165	590	2968
166	610	3044
167	611	3026
168	612	3010
169	612	2991
170	613	2975
171	614	2959
172	615	2943
173	634	3013
174	635	2997
175	639	2994
176	640	2978
177	641	2961
178	642	2946
179	643	2931
180	644	2916
181	645	2901
182	646	2886
183	647	2871
184	648	2856
185	649	2842
186	650	2828
187	651	2814
188	652	2800
189	653	2787
190	655	2774
191	662	2788
192	663	2775
193	664	2761
194	665	2748
195	666	2735
196	667	2722
197	669	2709
198	670	2697
199	671	2684
200	673	2678
201	675	2666
202	676	2654
203	677	2642
204	685	2656
205	686	2645
206	687	2633
207	689	2625
208	690	2613
209	715	2689
210	728	2725
211	730	2713
212	731	2701
213	732	2688
214	733	2676
215	734	2665
216	735	2653
217	736	2641
218	737	2629
219	739	2621
220	740	2610
221	741	2599
222	742	2587
223	743	2576
224	744	2565
225	745	2553
226	752	2563
227	759	2573
228	760	2562
229	773	2589
230	774	2578
231	775	2567
232	776	2557
233	783	2566
234	785	2555
235	786	2546
236	787	2535
237	788	2525
238	789	2514
239	790	2503
240	791	2493
241	792	2483
242	805	2510
243	807	2500
244	808	2490
245	809	2479
246	810	2469
247	811	2461
248	812	2451
249	814	2442
250	824	2460
251	825	2451
252	826	2441
253	827	2431
254	829	2422
255	830	2412
256	831	2402
257	841	2418
258	842	2409
259	843	2401
260	844	2392
261	846	2383
262	847	2373
263	848	2365
264	849	2356
265	861	2378
266	862	2369
267	864	2359
268	865	2350
269	866	2341
270	874	2352
271	875	2343
272	902	2402
273	913	2419
274	922	2431
275	923	2421
276	924	2412
277	925	2403
278	926	2394
279	927	2385
280	928	2376
281	929	2367
282	930	2358
283	932	2351
284	933	2343
285	935	2334
286	936	2325
287	947	2342
288	949	2334
289	950	2326
290	951	2317
291	952	2308
292	953	2299
293	954	2291
294	955	2282
295	967	2302
296	969	2294
297	982	2313
298	983	2305
299	984	2296
300	985	2288
301	986	2279
302	987	2271
303	988	2263
304	989	2255
305	1004	2277
306	1005	2269
307	1006	2261
308	1007	2253
309	1016	2262
310	1017	2254
311	1018	2246
312	1019	2238
313	1030	2252
